location,area_sqft,resale,no_of_bedrooms,nearby_school_1km,nearby_hospital_1km,nearby_mall_1km,nearby_gym_1km,swimmingpool,rainwaterharvesting,sportsfacility,powerbackup,carparking,childrens_playarea,liftavailable,price
perungalathur,1310,0,3,0,0,0,0,0,0,0,0,0,0,0,5500000.0
madhavaram,1126,0,2,0,0,0,1,1,1,0,1,0,1,1,5350000.0
karapakkam,1307,0,3,0,0,0,1,1,1,1,1,1,1,0,8205000.0
thiruvidandhai,3600,0,3,0,0,0,1,1,0,0,1,0,1,0,23400000.0
iyyappanthangal,1700,0,3,0,0,0,1,1,0,0,1,0,1,0,10100000.0
mevalurkuppam,576,0,1,0,0,0,1,1,1,1,1,1,1,1,2950000.0
kolapakkam,1207,0,3,0,0,0,1,1,1,0,1,1,1,1,7600000.0
kundrathur,604,0,2,0,0,0,1,0,0,0,0,1,0,0,2234000.0
pammal,986,0,2,0,0,0,0,0,0,0,0,0,0,1,5521000.0
puzhal,1345,0,3,0,0,0,1,1,1,0,1,1,1,1,6321000.0
selaiyur,510,0,1,0,0,0,0,0,0,0,1,0,0,0,3404000.0
thoraipakkam,1508,0,3,0,0,0,1,1,1,0,1,1,0,1,11600000.0
karapakkam,1245,0,2,0,0,0,1,1,0,0,1,1,1,1,6536000.0
anna nagar,1565,0,3,0,0,0,0,0,0,0,1,0,0,1,24200000.0
mogappair,1306,0,2,0,0,0,1,1,0,0,0,0,0,0,8162000.0
sholinganallur,1113,0,2,0,0,0,1,0,1,0,1,0,1,0,6190000.0
mogappair,1479,0,3,0,0,0,1,1,0,0,1,1,1,1,9613000.0
sholinganallur,1640,0,3,1,1,1,1,1,1,0,1,1,1,1,7542000.0
medavakkam,1112,0,2,0,0,0,0,0,0,0,1,0,0,0,6338000.0
avadi,645,0,2,0,0,0,1,1,1,0,1,0,1,1,2724000.0
tiruvottiyur,738,0,2,0,0,0,0,0,0,0,0,0,0,0,3388000.0
perungalathur,804,0,2,0,0,0,0,0,0,0,0,0,1,1,3175000.0
iyyappanthangal,2474,0,4,1,1,1,1,1,1,0,1,1,1,1,19100000.0
manapakkam,701,0,2,0,0,0,0,0,0,0,0,0,0,0,4065999.0
madipakkam,1350,1,2,0,0,0,0,0,0,0,0,0,0,1,6500000.0
thiruvanmiyur,785,1,2,0,0,0,0,0,0,0,0,0,0,0,5500000.0
ramapuram,538,1,1,0,0,0,1,1,1,1,1,1,1,1,3500000.0
saidapet,1361,0,2,0,0,0,1,1,0,0,1,0,1,1,17000000.0
avadi,677,0,2,1,1,0,0,0,0,0,1,1,1,1,2499000.0
pammal,868,0,2,0,0,0,0,0,0,0,0,0,0,0,4165999.0
madipakkam,920,0,2,0,0,0,0,0,0,0,0,0,0,1,4875000.0
poonamallee,850,0,2,0,0,0,0,0,0,0,0,0,0,0,3442000.0
pammal,850,0,2,0,0,0,0,0,0,0,0,0,0,0,4165000.0
pallavaram,1019,0,2,0,0,0,0,0,0,0,0,0,0,0,5298000.0
pammal,1080,0,3,0,0,0,0,0,0,0,0,0,0,1,5184000.0
maraimalai nagar,1943,0,3,0,0,0,1,1,0,1,1,0,1,1,10000000.0
madambakkam,1245,0,3,0,0,0,0,0,1,0,0,1,0,1,6225000.0
perungudi,817,0,2,0,0,0,0,0,1,0,1,0,0,0,5599000.0
iyyappanthangal,1185,0,3,0,0,0,0,0,0,0,1,1,0,0,6100000.0
kolapakkam,779,0,2,0,0,0,0,0,0,0,0,1,0,0,2960000.0
villivakkam,1330,0,2,0,0,0,0,0,0,0,0,0,0,0,7200000.0
adyar,2011,1,4,0,0,0,0,0,0,0,0,0,0,0,35000000.0
navallur,1112,0,2,0,0,0,1,0,0,0,0,0,1,0,4998000.0
moolacheri,612,0,2,0,0,0,1,1,1,0,1,1,1,0,3400000.0
chromepet,900,0,2,0,0,0,0,0,0,0,1,0,0,1,6500000.0
nandambakkam,1641,0,3,0,0,0,0,0,0,0,1,0,0,1,8675000.0
anna nagar,963,0,2,0,0,0,1,0,0,1,1,0,1,1,6259000.0
kelambakkam,1062,0,3,1,1,1,1,1,1,1,1,1,1,1,3400000.0
vadapalani,940,0,2,0,0,0,0,0,0,0,1,0,0,1,12000000.0
kumananchavadi,1400,1,3,0,0,0,0,0,0,0,0,0,0,0,5999000.0
thoraipakkam,1671,0,3,0,0,0,1,0,0,0,1,0,0,0,10400000.0
sholinganallur,1952,0,3,0,0,0,0,0,0,0,0,0,0,1,8000000.0
sholinganallur,944,0,2,0,0,0,0,0,1,0,1,0,0,1,5003000.0
porur,975,0,1,0,0,0,0,0,0,0,1,0,0,1,4192000.0
periyapanicheri,1060,0,3,0,0,0,0,0,0,0,0,0,0,0,5500000.0
perungudi,1481,0,3,0,0,0,0,0,1,0,1,1,0,1,9110000.0
selaiyur,965,0,2,0,0,0,0,0,1,0,0,0,0,0,3377000.0
manikandan nagar,1128,0,3,0,0,0,0,0,0,0,0,0,0,0,5978000.0
porur,1219,0,3,0,0,0,0,0,0,0,0,0,0,0,6000000.0
kodambakkam,1300,1,2,0,0,0,0,0,0,0,1,0,0,0,12000000.0
velachery,1298,0,3,0,0,0,0,0,0,0,0,0,0,0,9086000.0
sholinganallur,1900,1,3,0,0,0,1,1,0,0,0,0,1,1,9500000.0
east tambaram,1213,0,3,0,0,0,1,0,0,1,1,1,1,1,5500000.0
gopalapuram,1560,1,3,0,0,0,0,0,0,0,0,0,0,0,20000000.0
navallur,2325,0,3,1,0,0,1,1,1,1,1,1,1,1,17500000.0
mevalurkuppam,1389,0,3,0,0,0,1,1,1,1,1,1,1,1,6800000.0
medavakkam,1250,0,3,0,0,0,1,0,0,0,0,0,1,1,6463000.0
avadi,1603,0,3,0,0,0,1,1,1,0,0,0,1,1,6409999.0
sunnambu kolathur,1000,0,2,0,0,0,0,0,0,0,0,0,0,0,5000000.0
perumbakkam,1238,0,3,0,0,0,0,0,0,0,1,0,1,1,5261000.0
cholambedu,801,0,2,0,0,0,0,0,0,0,0,0,0,0,3083000.0
urapakkam,789,0,2,0,0,0,0,0,0,0,0,0,0,0,3000000.0
raja annamalai puram,2533,1,3,0,0,0,1,1,0,0,1,1,0,1,43000000.0
madhavaram,923,0,2,0,0,0,0,0,0,0,0,0,0,1,4153000.0
perungudi,2000,1,3,0,0,0,0,0,0,0,0,0,0,0,13200000.0
madipakkam,960,0,2,0,0,0,0,0,0,0,0,1,0,0,3850000.0
besant nagar,1170,0,2,0,0,0,0,0,0,0,1,0,0,1,19300000.0
medavakkam,1471,0,3,0,0,0,1,1,0,1,1,0,1,1,9000000.0
peerakankaranai,1181,0,3,0,0,0,0,0,0,0,1,0,0,1,6500000.0
nanmangalam,768,0,2,0,0,0,0,0,0,0,0,0,0,1,3072000.0
jamalia,657,0,2,0,0,0,0,0,0,0,0,0,0,1,4800000.0
iyyappanthangal,1187,0,3,0,0,0,0,0,0,0,0,1,0,0,7400000.0
avadi,700,0,2,1,1,0,0,0,0,0,1,1,1,1,2500000.0
nanmangalam,954,1,2,0,0,0,0,0,0,0,0,0,0,0,4100000.0
nanmangalam,722,0,2,0,0,0,0,0,0,0,0,0,0,0,3032000.0
sholinganallur,1645,1,3,0,0,0,1,1,0,1,1,0,1,1,9746000.0
perumbakkam,1443,0,3,1,1,1,1,1,1,0,1,1,1,1,6203000.0
guduvancheri,894,0,2,0,0,0,0,0,0,0,0,0,0,0,3500000.0
chromepet,1323,0,3,0,0,0,0,0,0,0,0,0,0,1,7936000.0
sembakkam,745,0,2,0,0,0,0,0,0,0,0,0,0,1,4000000.0
adambakkam,560,1,1,0,0,0,0,0,0,0,0,0,0,0,2800000.0
nungambakkam,2056,0,2,0,0,0,1,1,0,1,1,0,1,1,43099999.0
t nagar,920,1,3,0,0,0,0,0,0,0,0,0,0,0,10000000.0
k k nagar,1250,1,2,0,0,0,1,1,0,1,1,0,1,1,9000000.0
ambattur,721,0,2,0,0,0,0,0,0,0,0,0,0,0,3881000.0
perumbakkam,855,0,2,0,0,0,0,0,0,0,0,1,0,0,3300000.0
valasaravakkam,1569,0,3,0,0,0,1,0,0,0,1,0,1,1,11700000.0
anna nagar,850,0,2,0,0,0,1,1,1,1,1,0,1,1,13600000.0
porur,1140,0,2,0,0,0,1,1,0,1,1,0,1,1,7000000.0
perungalathur,660,0,1,0,0,0,0,0,0,0,0,0,0,0,2771000.0
perungalathur,643,0,1,0,0,0,0,0,0,0,0,0,0,0,2699000.0
perungalathur,1196,0,2,0,0,0,0,0,0,0,0,0,0,0,5022000.0
perungalathur,633,0,1,0,0,0,0,0,0,0,0,0,0,0,2657000.0
perungalathur,926,0,2,0,0,0,0,0,0,0,0,0,0,0,3888000.0
perungalathur,650,0,1,0,0,0,0,0,0,0,0,0,0,0,2729000.0
perungalathur,1931,0,3,0,0,0,0,0,0,0,0,0,0,0,8108000.0
karapakkam,538,0,1,0,0,0,1,1,1,1,1,1,1,0,3306000.0
karapakkam,1314,0,3,0,0,0,1,1,1,1,1,1,1,0,8248999.0
karapakkam,1027,0,2,0,0,0,1,1,1,1,1,1,1,0,6447000.0
karapakkam,1358,0,3,0,0,0,1,1,1,1,1,1,1,0,8525000.0
karapakkam,1024,0,2,0,0,0,1,1,1,1,1,1,1,0,6428000.0
karapakkam,2686,0,4,0,0,0,1,1,1,1,1,1,1,0,16800000.0
karapakkam,1561,0,3,0,0,0,1,1,1,1,1,1,1,0,9799000.0
karapakkam,1296,0,3,0,0,0,1,1,1,1,1,1,1,0,8136000.0
karapakkam,1566,0,3,0,0,0,1,1,1,1,1,1,1,0,9831000.0
karapakkam,1829,0,3,0,0,0,1,1,1,1,1,1,1,0,11399999.0
karapakkam,1564,0,3,0,0,0,1,1,1,1,1,1,1,0,9818000.0
karapakkam,1348,0,3,0,0,0,1,1,1,1,1,1,1,0,8462000.0
karapakkam,1944,0,3,0,0,0,1,1,1,1,1,1,1,0,12200000.0
karapakkam,2640,0,4,0,0,0,1,1,1,1,1,1,1,0,16500000.0
karapakkam,549,0,1,0,0,0,1,1,1,1,1,1,1,0,3372999.0
karapakkam,2630,0,4,0,0,0,1,1,1,1,1,1,1,0,16500000.0
karapakkam,2616,0,4,0,0,0,1,1,1,1,1,1,1,0,16399999.0
karapakkam,1599,0,3,0,0,0,1,1,1,1,1,1,1,0,10000000.0
thiruvidandhai,6600,0,4,0,0,0,1,1,0,0,1,0,1,0,42900000.0
thiruvidandhai,3600,0,4,0,0,0,1,1,0,0,1,0,1,0,23400000.0
iyyappanthangal,1140,0,2,0,0,0,1,1,0,0,1,0,1,0,6834000.0
iyyappanthangal,1130,0,2,0,0,0,1,1,0,0,1,0,1,0,6773999.0
iyyappanthangal,1200,0,2,0,0,0,1,1,0,0,1,0,1,0,7194000.0
mevalurkuppam,855,0,2,0,0,0,1,1,1,1,1,1,1,1,3990000.0
iyyappanthangal,635,0,1,0,0,0,1,1,0,0,1,0,1,0,3806000.0
iyyappanthangal,1175,0,2,0,0,0,1,1,0,0,1,0,1,0,7044000.0
iyyappanthangal,1645,0,3,0,0,0,1,1,0,0,1,0,1,0,9861000.0
